	border_spot_counts
mm10-Apoe_mm10-Lrp1	84
mm10-Apoe_mm10-Sorl1	69
mm10-C1qb_mm10-Lrp1	67
mm10-Grn_mm10-Tnfrsf1a	55
mm10-Spp1_mm10-Itgav	49
mm10-Spp1_mm10-Itgb5	46
mm10-Timp1_mm10-Cd63	45
mm10-Spp1_mm10-Itgb1	44
mm10-Lgals1_mm10-Itgb1	44
mm10-Ccl8_mm10-Ackr1	38
mm10-Vim_mm10-Cd44	38
mm10-Lgals3bp_mm10-Itgb1	37
mm10-Spp1_mm10-Cd44	36
mm10-Lpl_mm10-Lrp1	36
mm10-Apoe_mm10-Vldlr	36
mm10-Psap_mm10-Lrp1	35
mm10-Serping1_mm10-Lrp1	35
mm10-Cp_mm10-Slc40a1	35
mm10-A2m_mm10-Lrp1	34
mm10-Timp2_mm10-Itgb1	34
mm10-C3_mm10-Lrp1	33
mm10-C1qa_mm10-Cd93	33
mm10-Col1a2_mm10-Itgb1	32
mm10-Cxcl12_mm10-Itgb1	32
mm10-Grn_mm10-Sort1	32
mm10-C1qa_mm10-Cspg4	32
mm10-Apoe_mm10-Lrp8	31
mm10-Ptn_mm10-Plxnb2	30
mm10-Fn1_mm10-Itgb1	30
mm10-Spp1_mm10-Itga9	29
mm10-Pros1_mm10-Axl	29
mm10-Fn1_mm10-Itgav	29
mm10-Lgals1_mm10-Ptprc	28
mm10-Gas6_mm10-Axl	28
mm10-Col4a1_mm10-Itgb1	28
mm10-Cfh_mm10-Itgam	28
mm10-Dcn_mm10-Tlr2	27
mm10-Pltp_mm10-Abca1	26
mm10-Vcam1_mm10-Itgb2	25
mm10-Gnai2_mm10-C5ar1	24
mm10-Col18a1_mm10-Itgb1	24
mm10-Tgm2_mm10-Itgb1	24
mm10-Cxcl12_mm10-Itgav	24
mm10-C3_mm10-C3ar1	24
mm10-Col4a1_mm10-Itgav	24
mm10-Grn_mm10-Tnfrsf1b	23
mm10-Apoe_mm10-Scarb1	23
mm10-Mdk_mm10-Itgb1	23
mm10-Col1a2_mm10-Cd93	23
mm10-Nid1_mm10-Itgav	23
mm10-Col1a1_mm10-Itgb1	22
mm10-Plat_mm10-Lrp1	22
mm10-Rps19_mm10-C5ar1	22
mm10-Csf1_mm10-Csf1r	22
mm10-Col1a2_mm10-Cd44	21
mm10-Ptn_mm10-Ptprz1	21
mm10-C3_mm10-Itgam	21
mm10-Icam1_mm10-Itgb2	21
mm10-Ccl8_mm10-Ccr5	20
mm10-C3_mm10-Itgax	20
mm10-Fbln1_mm10-Itgb1	20
mm10-Cd84_mm10-Cd84	20
mm10-App_mm10-Cd74	20
mm10-Anxa2_mm10-Tlr2	19
mm10-Tfpi_mm10-Lrp1	19
mm10-Timp2_mm10-Itga3	19
mm10-Lama1_mm10-Rpsa	19
mm10-Tnc_mm10-Itgav	19
mm10-Sema6d_mm10-Tyrobp	19
mm10-Ccl8_mm10-Ccr1	19
mm10-Col18a1_mm10-Ptprs	18
mm10-Serpine1_mm10-Lrp1	18
mm10-Calr_mm10-Lrp1	18
mm10-Ptn_mm10-Ptprs	18
mm10-Lama2_mm10-Itgb1	18
mm10-Lamb2_mm10-Rpsa	17
mm10-Bgn_mm10-Tlr2	17
mm10-Ltbp3_mm10-Itgb5	17
mm10-Lama2_mm10-Rpsa	17
mm10-Apoe_mm10-Lrp5	17
mm10-Icam1_mm10-Itgam	17
mm10-Cd47_mm10-Sirpa	17
mm10-Sirpa_mm10-Cd47	17
mm10-Fn1_mm10-Itga9	17
mm10-C1qa_mm10-Cd33	17
mm10-Vcam1_mm10-Itgb1	17
mm10-Lgals9_mm10-Cd44	17
mm10-Calr_mm10-Itgav	17
mm10-Adam9_mm10-Itgb1	16
mm10-Sema4d_mm10-Plxnb2	16
mm10-Cadm1_mm10-Cadm1	16
mm10-Lgals3_mm10-Lag3	16
mm10-C3_mm10-Itgb2	16
mm10-Lamb1_mm10-Itgb1	16
